metric_name,timestamp,metric_value,check,error_code,expected_response,group,method,name,scenario,status,extra_tags,metadata
vus,1788334862,0.000000,,,,,,,,,,
vus_max,1788334862,5.000000,,,,,,,,,,
vus,1788334863,0.000000,,,,,,,,,,
vus_max,1788334863,5.000000,,,,,,,,,,
vus,1788334864,0.000000,,,,,,,,,,
vus_max,1788334864,5.000000,,,,,,,,,,
vus,1788334865,0.000000,,,,,,,,,,
vus_max,1788334865,5.000000,,,,,,,,,,
vus,1788334866,0.000000,,,,,,,,,,
vus_max,1788334866,5.000000,,,,,,,,,,
vus,1788334867,0.000000,,,,,,,,,,
vus_max,1788334867,5.000000,,,,,,,,,,
wf03_workflow_attempted,1788334867,1.000000,,,,,,,endurance,,workflow=wf03&traffic=measured,
http_reqs,1788334867,1.000000,,,true,::wf03_01_login,POST,wf03_login,endurance,200,endpoint_group=auth&traffic=measured&workflow=wf03&step=login&operation_role=business,
http_req_duration,1788334867,3.348000,,,true,::wf03_01_login,POST,wf03_login,endurance,200,workflow=wf03&traffic=measured&step=login&operation_role=business&endpoint_group=auth,
http_req_blocked,1788334867,1.281000,,,true,::wf03_01_login,POST,wf03_login,endurance,200,workflow=wf03&step=login&traffic=measured&operation_role=business&endpoint_group=auth,
http_req_connecting,1788334867,0.497000,,,true,::wf03_01_login,POST,wf03_login,endurance,200,endpoint_group=auth&workflow=wf03&traffic=measured&operation_role=business&step=login,
http_req_tls_handshaking,1788334867,0.000000,,,true,::wf03_01_login,POST,wf03_login,endurance,200,step=login&operation_role=business&endpoint_group=auth&traffic=measured&workflow=wf03,
http_req_sending,1788334867,0.399000,,,true,::wf03_01_login,POST,wf03_login,endurance,200,workflow=wf03&traffic=measured&step=login&operation_role=business&endpoint_group=auth,
http_req_waiting,1788334867,2.843000,,,true,::wf03_01_login,POST,wf03_login,endurance,200,step=login&operation_role=business&endpoint_group=auth&workflow=wf03&traffic=measured,
http_req_receiving,1788334867,0.106000,,,true,::wf03_01_login,POST,wf03_login,endurance,200,operation_role=business&workflow=wf03&traffic=measured&step=login&endpoint_group=auth,
http_req_failed,1788334867,0.000000,,,true,::wf03_01_login,POST,wf03_login,endurance,200,traffic=measured&step=login&operation_role=business&workflow=wf03&endpoint_group=auth,
checks,1788334867,1.000000,login: status is 200,,,::wf03_01_login,,wf03_login,endurance,,workflow=wf03&traffic=measured&step=login&operation_role=business&endpoint_group=auth,
checks,1788334867,1.000000,login: body is valid JSON object,,,::wf03_01_login,,wf03_login,endurance,,workflow=wf03&step=login&operation_role=business&traffic=measured&endpoint_group=auth,
checks,1788334867,1.000000,login: response indicates success,,,::wf03_01_login,,wf03_login,endurance,,step=login&endpoint_group=auth&workflow=wf03&traffic=measured&operation_role=business,
checks,1788334867,1.000000,login: token is non-empty,,,::wf03_01_login,,wf03_login,endurance,,workflow=wf03&traffic=measured&endpoint_group=auth&step=login&operation_role=business,
checks,1788334867,1.000000,login: identity matches dedicated credential,,,::wf03_01_login,,wf03_login,endurance,,endpoint_group=auth&step=login&operation_role=business&workflow=wf03&traffic=measured,
checks,1788334867,1.000000,login: role is user,,,::wf03_01_login,,wf03_login,endurance,,endpoint_group=auth&step=login&operation_role=business&workflow=wf03&traffic=measured,
checks,1788334867,1.000000,login: account is unlocked,,,::wf03_01_login,,wf03_login,endurance,,step=login&operation_role=business&endpoint_group=auth&workflow=wf03&traffic=measured,
group_duration,1788334867,6.443375,,,,::wf03_01_login,,,wf03_endurance,,workflow=wf03&traffic=measured,
http_reqs,1788334868,1.000000,,,true,::wf03_02_search,GET,wf03_search,endurance,200,workflow=wf03&traffic=measured&step=search&operation_role=business&endpoint_group=read,
http_req_duration,1788334868,2.958000,,,true,::wf03_02_search,GET,wf03_search,endurance,200,endpoint_group=read&workflow=wf03&traffic=measured&operation_role=business&step=search,
http_req_blocked,1788334868,0.019000,,,true,::wf03_02_search,GET,wf03_search,endurance,200,operation_role=business&endpoint_group=read&traffic=measured&workflow=wf03&step=search,
http_req_connecting,1788334868,0.000000,,,true,::wf03_02_search,GET,wf03_search,endurance,200,endpoint_group=read&workflow=wf03&operation_role=business&traffic=measured&step=search,
http_req_tls_handshaking,1788334868,0.000000,,,true,::wf03_02_search,GET,wf03_search,endurance,200,step=search&operation_role=business&endpoint_group=read&workflow=wf03&traffic=measured,
http_req_sending,1788334868,0.055000,,,true,::wf03_02_search,GET,wf03_search,endurance,200,step=search&endpoint_group=read&workflow=wf03&traffic=measured&operation_role=business,
http_req_waiting,1788334868,2.782000,,,true,::wf03_02_search,GET,wf03_search,endurance,200,workflow=wf03&operation_role=business&endpoint_group=read&traffic=measured&step=search,
http_req_receiving,1788334868,0.121000,,,true,::wf03_02_search,GET,wf03_search,endurance,200,step=search&operation_role=business&workflow=wf03&endpoint_group=read&traffic=measured,
http_req_failed,1788334868,0.000000,,,true,::wf03_02_search,GET,wf03_search,endurance,200,traffic=measured&endpoint_group=read&workflow=wf03&step=search&operation_role=business,
checks,1788334868,1.000000,search: status is 200,,,::wf03_02_search,,wf03_search,endurance,,endpoint_group=read&workflow=wf03&traffic=measured&step=search&operation_role=business,
checks,1788334868,1.000000,search: body is valid product array,,,::wf03_02_search,,wf03_search,endurance,,traffic=measured&step=search&workflow=wf03&operation_role=business&endpoint_group=read,
checks,1788334868,1.000000,search: exactly one expected product matches,,,::wf03_02_search,,wf03_search,endurance,,traffic=measured&step=search&operation_role=business&endpoint_group=read&workflow=wf03,
checks,1788334868,1.000000,search: selected product id is valid,,,::wf03_02_search,,wf03_search,endurance,,step=search&endpoint_group=read&workflow=wf03&traffic=measured&operation_role=business,
group_duration,1788334868,3.484625,,,,::wf03_02_search,,,wf03_endurance,,workflow=wf03&traffic=measured,
vus,1788334868,1.000000,,,,,,,,,,
vus_max,1788334868,5.000000,,,,,,,,,,
http_reqs,1788334869,1.000000,,,true,::wf03_03_detail,GET,wf03_detail,endurance,200,endpoint_group=read&traffic=measured&step=detail&operation_role=business&workflow=wf03,
http_req_duration,1788334869,2.053000,,,true,::wf03_03_detail,GET,wf03_detail,endurance,200,endpoint_group=read&workflow=wf03&operation_role=business&traffic=measured&step=detail,
http_req_blocked,1788334869,0.012000,,,true,::wf03_03_detail,GET,wf03_detail,endurance,200,operation_role=business&endpoint_group=read&workflow=wf03&traffic=measured&step=detail,
http_req_connecting,1788334869,0.000000,,,true,::wf03_03_detail,GET,wf03_detail,endurance,200,operation_role=business&endpoint_group=read&traffic=measured&step=detail&workflow=wf03,
http_req_tls_handshaking,1788334869,0.000000,,,true,::wf03_03_detail,GET,wf03_detail,endurance,200,traffic=measured&step=detail&endpoint_group=read&workflow=wf03&operation_role=business,
http_req_sending,1788334869,0.036000,,,true,::wf03_03_detail,GET,wf03_detail,endurance,200,endpoint_group=read&workflow=wf03&traffic=measured&step=detail&operation_role=business,
http_req_waiting,1788334869,1.927000,,,true,::wf03_03_detail,GET,wf03_detail,endurance,200,endpoint_group=read&workflow=wf03&step=detail&traffic=measured&operation_role=business,
http_req_receiving,1788334869,0.090000,,,true,::wf03_03_detail,GET,wf03_detail,endurance,200,traffic=measured&operation_role=business&endpoint_group=read&workflow=wf03&step=detail,
http_req_failed,1788334869,0.000000,,,true,::wf03_03_detail,GET,wf03_detail,endurance,200,workflow=wf03&traffic=measured&step=detail&endpoint_group=read&operation_role=business,
checks,1788334869,1.000000,detail: status is 200,,,::wf03_03_detail,,wf03_detail,endurance,,workflow=wf03&traffic=measured&step=detail&operation_role=business&endpoint_group=read,
checks,1788334869,1.000000,detail: body is valid product object,,,::wf03_03_detail,,wf03_detail,endurance,,step=detail&operation_role=business&endpoint_group=read&workflow=wf03&traffic=measured,
checks,1788334869,1.000000,detail: id matches correlated product id,,,::wf03_03_detail,,wf03_detail,endurance,,endpoint_group=read&workflow=wf03&step=detail&traffic=measured&operation_role=business,
checks,1788334869,1.000000,detail: name matches expected product,,,::wf03_03_detail,,wf03_detail,endurance,,workflow=wf03&operation_role=business&traffic=measured&step=detail&endpoint_group=read,
checks,1788334869,1.000000,detail: price is positive and finite,,,::wf03_03_detail,,wf03_detail,endurance,,workflow=wf03&endpoint_group=read&traffic=measured&step=detail&operation_role=business,
group_duration,1788334869,2.497000,,,,::wf03_03_detail,,,wf03_endurance,,workflow=wf03&traffic=measured,
vus,1788334869,1.000000,,,,,,,,,,
vus_max,1788334869,5.000000,,,,,,,,,,
vus,1788334870,1.000000,,,,,,,,,,
vus_max,1788334870,5.000000,,,,,,,,,,
http_reqs,1788334871,1.000000,,,true,::wf03_04_checkout,POST,wf03_checkout,endurance,200,traffic=measured&operation_role=business&endpoint_group=transactional&workflow=wf03&step=checkout,
http_req_duration,1788334871,4.086000,,,true,::wf03_04_checkout,POST,wf03_checkout,endurance,200,endpoint_group=transactional&traffic=measured&step=checkout&workflow=wf03&operation_role=business,
http_req_blocked,1788334871,0.008000,,,true,::wf03_04_checkout,POST,wf03_checkout,endurance,200,traffic=measured&endpoint_group=transactional&step=checkout&operation_role=business&workflow=wf03,
http_req_connecting,1788334871,0.000000,,,true,::wf03_04_checkout,POST,wf03_checkout,endurance,200,workflow=wf03&step=checkout&operation_role=business&endpoint_group=transactional&traffic=measured,
http_req_tls_handshaking,1788334871,0.000000,,,true,::wf03_04_checkout,POST,wf03_checkout,endurance,200,workflow=wf03&traffic=measured&step=checkout&endpoint_group=transactional&operation_role=business,
http_req_sending,1788334871,0.043000,,,true,::wf03_04_checkout,POST,wf03_checkout,endurance,200,operation_role=business&traffic=measured&step=checkout&endpoint_group=transactional&workflow=wf03,
http_req_waiting,1788334871,3.930000,,,true,::wf03_04_checkout,POST,wf03_checkout,endurance,200,traffic=measured&step=checkout&operation_role=business&endpoint_group=transactional&workflow=wf03,
http_req_receiving,1788334871,0.113000,,,true,::wf03_04_checkout,POST,wf03_checkout,endurance,200,traffic=measured&operation_role=business&endpoint_group=transactional&workflow=wf03&step=checkout,
http_req_failed,1788334871,0.000000,,,true,::wf03_04_checkout,POST,wf03_checkout,endurance,200,traffic=measured&step=checkout&operation_role=business&workflow=wf03&endpoint_group=transactional,
checks,1788334871,1.000000,checkout: status is 200,,,::wf03_04_checkout,,wf03_checkout,endurance,,traffic=measured&step=checkout&endpoint_group=transactional&workflow=wf03&operation_role=business,
checks,1788334871,1.000000,checkout: body is valid JSON object,,,::wf03_04_checkout,,wf03_checkout,endurance,,workflow=wf03&step=checkout&operation_role=business&endpoint_group=transactional&traffic=measured,
checks,1788334871,1.000000,checkout: response indicates success,,,::wf03_04_checkout,,wf03_checkout,endurance,,workflow=wf03&traffic=measured&step=checkout&operation_role=business&endpoint_group=transactional,
checks,1788334871,1.000000,checkout: new order id is valid,,,::wf03_04_checkout,,wf03_checkout,endurance,,workflow=wf03&step=checkout&traffic=measured&operation_role=business&endpoint_group=transactional,
group_duration,1788334871,4.478500,,,,::wf03_04_checkout,,,wf03_endurance,,traffic=measured&workflow=wf03,
wf03_orders_created,1788334871,1.000000,,,,,,,endurance,,workflow=wf03&traffic=measured,
http_reqs,1788334871,1.000000,,,true,::wf03_05_pending_probe,GET,wf03_pending_probe,endurance,200,traffic=measured&endpoint_group=read&workflow=wf03&step=pending_probe&operation_role=verification,
http_req_duration,1788334871,1.360000,,,true,::wf03_05_pending_probe,GET,wf03_pending_probe,endurance,200,workflow=wf03&operation_role=verification&endpoint_group=read&traffic=measured&step=pending_probe,
http_req_blocked,1788334871,0.005000,,,true,::wf03_05_pending_probe,GET,wf03_pending_probe,endurance,200,workflow=wf03&traffic=measured&step=pending_probe&operation_role=verification&endpoint_group=read,
http_req_connecting,1788334871,0.000000,,,true,::wf03_05_pending_probe,GET,wf03_pending_probe,endurance,200,workflow=wf03&traffic=measured&step=pending_probe&operation_role=verification&endpoint_group=read,
http_req_tls_handshaking,1788334871,0.000000,,,true,::wf03_05_pending_probe,GET,wf03_pending_probe,endurance,200,workflow=wf03&traffic=measured&step=pending_probe&operation_role=verification&endpoint_group=read,
http_req_sending,1788334871,0.016000,,,true,::wf03_05_pending_probe,GET,wf03_pending_probe,endurance,200,workflow=wf03&operation_role=verification&endpoint_group=read&traffic=measured&step=pending_probe,
http_req_waiting,1788334871,1.303000,,,true,::wf03_05_pending_probe,GET,wf03_pending_probe,endurance,200,endpoint_group=read&workflow=wf03&step=pending_probe&operation_role=verification&traffic=measured,
http_req_receiving,1788334871,0.041000,,,true,::wf03_05_pending_probe,GET,wf03_pending_probe,endurance,200,endpoint_group=read&workflow=wf03&traffic=measured&operation_role=verification&step=pending_probe,
http_req_failed,1788334871,0.000000,,,true,::wf03_05_pending_probe,GET,wf03_pending_probe,endurance,200,workflow=wf03&step=pending_probe&endpoint_group=read&traffic=measured&operation_role=verification,
checks,1788334871,1.000000,pending_probe: status is 200,,,::wf03_05_pending_probe,,wf03_pending_probe,endurance,,workflow=wf03&traffic=measured&step=pending_probe&operation_role=verification&endpoint_group=read,
checks,1788334871,1.000000,pending_probe: body is valid order object,,,::wf03_05_pending_probe,,wf03_pending_probe,endurance,,operation_role=verification&workflow=wf03&step=pending_probe&endpoint_group=read&traffic=measured,
checks,1788334871,1.000000,pending_probe: id matches correlated order id,,,::wf03_05_pending_probe,,wf03_pending_probe,endurance,,endpoint_group=read&workflow=wf03&operation_role=verification&traffic=measured&step=pending_probe,
checks,1788334871,1.000000,pending_probe: owner matches authenticated user,,,::wf03_05_pending_probe,,wf03_pending_probe,endurance,,workflow=wf03&traffic=measured&step=pending_probe&operation_role=verification&endpoint_group=read,
checks,1788334871,1.000000,pending_probe: amount matches checkout total,,,::wf03_05_pending_probe,,wf03_pending_probe,endurance,,step=pending_probe&endpoint_group=read&workflow=wf03&traffic=measured&operation_role=verification,
checks,1788334871,1.000000,pending_probe: address matches checkout address,,,::wf03_05_pending_probe,,wf03_pending_probe,endurance,,traffic=measured&step=pending_probe&operation_role=verification&endpoint_group=read&workflow=wf03,
checks,1788334871,1.000000,pending_probe: state is pending,,,::wf03_05_pending_probe,,wf03_pending_probe,endurance,,traffic=measured&endpoint_group=read&step=pending_probe&operation_role=verification&workflow=wf03,
group_duration,1788334871,1.581750,,,,::wf03_05_pending_probe,,,wf03_endurance,,workflow=wf03&traffic=measured,
vus,1788334871,1.000000,,,,,,,,,,
vus_max,1788334871,5.000000,,,,,,,,,,
checks,1788334871,1.000000,cancellation: request uses correlated order id,,,::wf03_06_cancellation,,wf03_cancellation,endurance,,workflow=wf03&step=cancellation&traffic=measured&operation_role=business&endpoint_group=transactional,
http_reqs,1788334871,1.000000,,,true,::wf03_06_cancellation,PUT,wf03_cancellation,endurance,200,workflow=wf03&traffic=measured&step=cancellation&operation_role=business&endpoint_group=transactional,
http_req_duration,1788334871,5.083000,,,true,::wf03_06_cancellation,PUT,wf03_cancellation,endurance,200,workflow=wf03&endpoint_group=transactional&traffic=measured&step=cancellation&operation_role=business,
http_req_blocked,1788334871,0.011000,,,true,::wf03_06_cancellation,PUT,wf03_cancellation,endurance,200,step=cancellation&operation_role=business&endpoint_group=transactional&workflow=wf03&traffic=measured,
http_req_connecting,1788334871,0.000000,,,true,::wf03_06_cancellation,PUT,wf03_cancellation,endurance,200,workflow=wf03&step=cancellation&traffic=measured&operation_role=business&endpoint_group=transactional,
http_req_tls_handshaking,1788334871,0.000000,,,true,::wf03_06_cancellation,PUT,wf03_cancellation,endurance,200,endpoint_group=transactional&workflow=wf03&step=cancellation&traffic=measured&operation_role=business,
http_req_sending,1788334871,0.042000,,,true,::wf03_06_cancellation,PUT,wf03_cancellation,endurance,200,endpoint_group=transactional&workflow=wf03&operation_role=business&traffic=measured&step=cancellation,
http_req_waiting,1788334871,4.899000,,,true,::wf03_06_cancellation,PUT,wf03_cancellation,endurance,200,step=cancellation&operation_role=business&workflow=wf03&traffic=measured&endpoint_group=transactional,
http_req_receiving,1788334871,0.142000,,,true,::wf03_06_cancellation,PUT,wf03_cancellation,endurance,200,workflow=wf03&step=cancellation&endpoint_group=transactional&traffic=measured&operation_role=business,
